country,commodity,min_price,max_price,median_price
Chile,Maize (yellow),0.18,0.32,0.21
Chile,Wheat,0.18,0.37,0.25
China,Rice,0.56,0.705,0.6525000000000001
China,Wheat,0.33,0.42,0.36
China,Wheat (flour),0.49,0.59,0.52
Costa Rica,Beans (black),1.43,2.06,1.72
Costa Rica,Beans (red),1.76,3.29,2.16
Costa Rica,Maize (white),0.5,0.89,0.68
Guatemala,Beans (black),0.83,1.38,1.02
Guatemala,Maize (white),0.26,0.61,0.37
Honduras,Beans (red),0.66,2.2,0.93
Honduras,Maize (white),0.25,0.6,0.35
Israel,Maize,0.22,0.4,0.26
Israel,Wheat,0.22,0.43,0.29
Italy,Rice,0.34,0.98,0.51
Italy,Wheat,0.19,0.49,0.31
Italy,Wheat (milling soft),0.17,0.4,0.24
Kazakhstan,Beef meat,3.16,10.51,5.175
Kazakhstan,Potatoes,0.19,0.75,0.43
Kazakhstan,Wheat (flour),0.3,0.63,0.39
Philippines,Maize (white),0.3,0.44,0.36
Philippines,Maize (yellow),0.29,0.43,0.37
Philippines,Rice,0.62,0.89,0.71
Russian Federation,Maize,0.12,0.33,0.17
Russian Federation,Wheat,0.12,0.39,0.19
Ukraine,Wheat,0.14,0.27,0.2
Ukraine,Wheat (flour),0.21,0.39,0.28500000000000003
Uruguay,Rice,0.18,0.27,0.24
Uruguay,Wheat,0.15,0.36,0.22
Uzbekistan,Wheat (flour),0.11,0.38,0.31
